node,descendantsNum
363628,225
1783234,112
68359,704
48479,26214
1035835,169
1797919,111
81490,133
2585030,2817
36549,361
2670808,101
29278,15647
29278,15647
122728,180
12429,2923
81684,633
81684,633
305072,500
1356638,212
1797919,111
81490,133
36549,361
340209,130
410657,223
115531,158
12333,3561
81684,633
2573095,1630
29278,15647
122728,180
2670808,101
150578,157
1035835,169
48479,26214
35342,186
1356638,212
2573095,1630
68359,704
2585030,2817
2693321,792
122728,180
81684,633
1922348,1361
47936,228
410656,176
410657,223
29278,15647
2573095,1630
2670808,101
410657,223
2573095,1630
49928,33707
36549,361
12429,2923
1797919,111
47936,228
48479,26214
150576,111
150576,111
1783234,112
410656,176
1922348,1361
12333,3561
2585030,2817
115531,158
1298915,136
305072,500
81684,633
363628,225
363628,225
57727,152
12429,2923
1356638,212
1797919,111
1035835,169
81684,633
340208,120
340208,120
68359,704
29278,15647
2670808,101
2585030,2817
93506,360
44770,145
81490,133
115531,158
29278,15647
81684,633
410657,223
340208,120
81684,633
44770,145
44770,145
363628,225
48510,1732
340208,120
1783234,112
48479,26214
115531,158
1298915,136
410656,176
